instance,alpha,maxtime,maxcost,makespam,cost,FO
gpu,0.5,23,95,16,5,0.374142
CyberShake_30_gpu,0.5,1268,99,1121,71.2,0.801631
CyberShake_50_gpu,0.5,2025,368,1317,284.63,0.711911
CyberShake_100_gpu,0.5,3423,544,3111,169.33,0.61006
Epigenomics_24_gpu,0.5,27112,4596,4214,288.09,0.109056
Epigenomics_46_gpu,0.5,63345,9893,11505,796.12,0.131049
Epigenomics_100_gpu,0.5,617203,111140,65817,9039.22,0.0939847
Montage_25_gpu,0.5,349,52,153,10.87,0.323717
Montage_50_gpu,0.5,779,151,360,12.9,0.273781
Montage_100_gpu,0.5,1652,424,638,55.38,0.258406
Inspiral_30_gpu,0.5,10125,1645,1290,102.2,0.0947675
Inspiral_50_gpu,0.5,17996,6266,2286,294.55,0.0870179
Inspiral_100_gpu,0.5,32167,5607,3740,313.9,0.0861259
Sipht_30_gpu,0.5,8487,2991,2936,109.76,0.191319
Sipht_60_gpu,0.5,17854,6264,4601,710.4,0.185556
Sipht_100_gpu,0.5,26591,3947,6434,323.7,0.161987
