instance,best,spam,cost,avg,time
3_toy_5_A,0.55,7.0,60.0,0.5499999999999999,0.028125
3_toy_5_B,0.353571,10.0,54.0,0.353571,0.0234375
3_toy_5_C,0.875,7.0,60.0,0.875,0.015625
5_toy_5_A,0.55,7.0,60.0,0.5499999999999999,0.040625
5_toy_5_B,0.53125,10.0,54.0,0.53125,0.040625
5_toy_5_C,0.669643,11.0,60.0,0.6696429999999999,0.0265625
3_toy_10_A,0.465192,26.0,65.0,0.46519199999999994,0.0609375
3_toy_10_B,0.528725,10.0,98.0,0.5287249999999999,0.053125
3_toy_10_C,0.4421,20.0,190.0,0.44210000000000005,0.0625
5_toy_10_A,0.416909,40.0,96.0,0.416909,0.096875
5_toy_10_B,0.465606,11.0,143.0,0.4698487,0.0984375
5_toy_10_C,0.401863,28.0,183.0,0.40186299999999997,0.0984375
3_toy_15_A,0.376984,23.0,22.0,0.37698400000000004,0.109375
3_toy_15_B,0.415242,23.0,22.0,0.415242,0.103125
3_toy_15_C,0.336329,27.0,26.0,0.33632900000000004,0.10625
5_toy_15_A,0.409091,20.0,28.0,0.409091,0.1765625
5_toy_15_B,0.444664,21.0,20.0,0.44466400000000006,0.184375
5_toy_15_C,0.454696,26.0,25.0,0.4546960000000001,0.184375
